event_id,event_time_status,n_event_time_rows
A_000000000016092800,ok,211
ABBV_000000000018013671,ok,211
ABBV_000000000020009552,ok,211
ABBV_000000000022010309,ok,211
ADM_000000000017044885,ok,211
ADM_000000000020007987,ok,211
ADM_000000000021013296,ok,211
ADM_000000000024005934,ok,211
ADSK_000000000017022741,ok,211
ADSK_000000000018024031,ok,211
AFL_000000000016074172,ok,211
AFL_000000000017014838,ok,211
AFL_000000000023008707,ok,211
AJG_000000000016075772,ok,211
AJG_000000000016102009,ok,211
AJG_000000000022012653,ok,211
AJG_000000000024002978,ok,211
AJG_000000000024010451,ok,211
ALL_000000000017014470,ok,211
ALL_000000000018011843,ok,211
ALL_000000000021003670,ok,211
AMT_000000000016074877,ok,211
AMT_000000000018008426,ok,211
AMT_000000000023002236,ok,211
AON_000000000017045347,ok,211
AON_000000000018025493,ok,211
AON_000000000019006947,ok,211
AON_000000000020004858,ok,211
AON_000000000022013878,ok,211
AON_000000000024003147,ok,211
APP_000000000020012628,ok,61
APP_000000000021013958,ok,211
AVY_000000000018009394,ok,211
AVY_000000000023003698,ok,211
BBY_000000000016088191,ok,211
BKR_000000000017014455,ok,211
BKR_000000000018030596,ok,211
BKR_000000000024008308,ok,211
BRK-B_000000000016092092,ok,211
BRK-B_000000000017008779,ok,211
BRK-B_000000000019008277,ok,211
BRK-B_000000000021008029,ok,211
BRK-B_000000000022009598,ok,211
BRK-B_000000000023008134,ok,211
BRK-B_000000000024009131,ok,211
BSX_000000000016070496,ok,211
BSX_000000000016094201,ok,211
BXP_000000000017016099,ok,211
BXP_000000000018024571,ok,211
BXP_000000000022009471,ok,211
BXP_000000000024009655,ok,211
C_000000000016082386,ok,211
C_000000000017009750,ok,211
C_000000000018014255,ok,211
C_000000000019012201,ok,211
C_000000000020008961,ok,211
C_000000000022004745,ok,211
C_000000000024006685,ok,211
CARR_000000000019013211,ok,61
CARR_000000000024006263,ok,211
CARR_000000000025008021,ok,211
CASY_000000000023001432,ok,211
CASY_000000000024002104,ok,211
CAT_000000000017022437,ok,211
CAT_000000000022010513,ok,211
CAT_000000000024002665,ok,211
CB_000000000016084378,ok,211
CB_000000000017027038,ok,211
CB_000000000019007690,ok,211
CB_000000000022009599,ok,211
CCI_000000000017015547,ok,211
CCI_000000000024002292,ok,211
CCI_000000000025005508,ok,211
CDNS_000000000023011586,ok,211
CEG_000000000021010325,ok,61
CHRW_000000000020011939,ok,211
CIEN_000000000016069477,ok,211
CIEN_000000000017024065,ok,211
CIEN_000000000018004375,ok,211
CIEN_000000000020003316,ok,211
COF_000000000020012214,ok,211
COF_000000000022010286,ok,211
COF_000000000023014108,ok,211
COF_000000000024005698,ok,211
CTSH_000000000017034709,ok,211
DASH_000000000020002224,ok,61
DASH_000000000020007251,ok,61
DASH_000000000022000022,ok,211
DRI_000000000018003836,ok,211
EA_000000000019011278,ok,211
EA_999999999721000527,ok,211
EBAY_000000000017028776,ok,211
EBAY_000000000018030096,ok,211
EBAY_000000000021005831,ok,211
EBAY_000000000022010339,ok,211
EBAY_000000000024010609,ok,211
EBAY_000000000025004920,ok,211
ESS_000000000017010663,ok,211
ETN_000000000016063947,ok,211
ETN_000000000017044426,ok,211
ETN_000000000018038869,ok,211
ETN_000000000024003729,ok,211
EXPE_000000000016095389,ok,211
EXPE_000000000017016265,ok,211
EXPE_000000000018024417,ok,211
EXPE_000000000019008960,ok,211
EXPE_000000000024003851,ok,211
F_000000000017029248,ok,211
F_000000000022007496,ok,211
FCX_000000000017017202,ok,211
FCX_000000000022004385,ok,211
FIX_000000000016065580,ok,211
FOX_000000000018034571,ok,61
FOX_000000000019013787,ok,192
FOX_000000000024002186,ok,211
GIS_000000000018018988,ok,211
GIS_000000000020001733,ok,211
GIS_000000000021013208,ok,211
GLW_000000000017010797,ok,211
GLW_000000000022005699,ok,211
GLW_000000000023012635,ok,211
HBAN_000000000016061412,ok,211
HBAN_000000000017040659,ok,211
HBAN_000000000021001444,ok,211
HBAN_000000000025007733,ok,211
HLT_000000000017008976,ok,211
HLT_000000000019014057,ok,211
HLT_000000000024006691,ok,211
IFF_000000000016085841,ok,211
IFF_000000000017013401,ok,211
IFF_000000000018019487,ok,211
IFF_000000000020005058,ok,211
IFF_000000000024009611,ok,211
ISRG_000000000022002263,ok,211
ITW_000000000021011797,ok,211
ITW_000000000023012160,ok,211
KEYS_000000000016071042,ok,211
KEYS_000000000020001611,ok,211
KIM_000000000017010670,ok,211
KIM_000000000021006862,ok,211
KIM_000000000023011402,ok,211
KIM_000000000024009904,ok,211
KMI_000000000016082397,ok,211
KMI_000000000021002753,ok,211
KMI_000000000023003113,ok,211
LEN_000000000016068040,ok,211
