model_id,outcome,outcome_label,spec_id,spec_label,include_pre_event_volatility,include_industry,topic_parameterization,formula,n_obs,term,coefficient,std_error,t_stat,p_value,term_label,term_group,coefficient_display,reason
CAR_-3_-1__topic_severity,CAR_-3_-1,"CAR[-3,-1]",topic_severity,Topic + severity,False,False,no_intercept_all_topic_coefficients,"Q(""CAR_-3_-1"") ~ 0 + C(topic) + severity_score",273,C(topic)[accounting_financial_reporting],0.0045161691265409205,0.002406169439186407,1.8769123458188228,0.06053010850074312,Topic: accounting_financial_reporting,topic,0.0045* (0.0024),
CAR_-3_-1__topic_severity,CAR_-3_-1,"CAR[-3,-1]",topic_severity,Topic + severity,False,False,no_intercept_all_topic_coefficients,"Q(""CAR_-3_-1"") ~ 0 + C(topic) + severity_score",273,C(topic)[business_structure],0.004269377207906783,0.004857500905628773,0.8789246344678013,0.3794421407288817,Topic: business_structure,topic,0.0043 (0.0049),
CAR_-3_-1__topic_severity,CAR_-3_-1,"CAR[-3,-1]",topic_severity,Topic + severity,False,False,no_intercept_all_topic_coefficients,"Q(""CAR_-3_-1"") ~ 0 + C(topic) + severity_score",273,C(topic)[mda_liquidity],-0.007963223018743191,0.005297507450671416,-1.5032018534931777,0.13278699972831345,Topic: mda_liquidity,topic,-0.0080 (0.0053),
CAR_-3_-1__topic_severity,CAR_-3_-1,"CAR[-3,-1]",topic_severity,Topic + severity,False,False,no_intercept_all_topic_coefficients,"Q(""CAR_-3_-1"") ~ 0 + C(topic) + severity_score",273,C(topic)[revenue_non_gaap],0.004992184940397615,0.003658975062583796,1.3643670303870201,0.17245207901671955,Topic: revenue_non_gaap,topic,0.0050 (0.0037),
CAR_-3_-1__topic_severity,CAR_-3_-1,"CAR[-3,-1]",topic_severity,Topic + severity,False,False,no_intercept_all_topic_coefficients,"Q(""CAR_-3_-1"") ~ 0 + C(topic) + severity_score",273,C(topic)[risk_legal_regulatory],-0.013633326110925818,0.011940485723472873,-1.141773159539492,0.25354832175009234,Topic: risk_legal_regulatory,topic,-0.0136 (0.0119),
CAR_-3_-1__topic_severity,CAR_-3_-1,"CAR[-3,-1]",topic_severity,Topic + severity,False,False,no_intercept_all_topic_coefficients,"Q(""CAR_-3_-1"") ~ 0 + C(topic) + severity_score",273,C(topic)[routine_other],-0.0023970718698943776,0.00505129720169379,-0.47454579965926313,0.6351107461900458,Topic: routine_other,topic,-0.0024 (0.0051),
CAR_-3_-1__topic_severity,CAR_-3_-1,"CAR[-3,-1]",topic_severity,Topic + severity,False,False,no_intercept_all_topic_coefficients,"Q(""CAR_-3_-1"") ~ 0 + C(topic) + severity_score",273,severity_score,-0.0009849565850180797,0.0006510958133657815,-1.512767498728697,0.13033872723399503,Severity score,main_variable,-0.0010 (0.0007),
CAR_-3_-1__topic_severity_pre_volatility,CAR_-3_-1,"CAR[-3,-1]",topic_severity_pre_volatility,Topic + severity + pre-volatility,True,False,no_intercept_all_topic_coefficients,"Q(""CAR_-3_-1"") ~ 0 + C(topic) + severity_score + pre_event_volatility",273,C(topic)[accounting_financial_reporting],0.004896498411775183,0.0032350961006306794,1.513555783032416,0.13013854293817642,Topic: accounting_financial_reporting,topic,0.0049 (0.0032),
CAR_-3_-1__topic_severity_pre_volatility,CAR_-3_-1,"CAR[-3,-1]",topic_severity_pre_volatility,Topic + severity + pre-volatility,True,False,no_intercept_all_topic_coefficients,"Q(""CAR_-3_-1"") ~ 0 + C(topic) + severity_score + pre_event_volatility",273,C(topic)[business_structure],0.004589593886664484,0.005563823086478635,0.82489932108342,0.4094287518224049,Topic: business_structure,topic,0.0046 (0.0056),
CAR_-3_-1__topic_severity_pre_volatility,CAR_-3_-1,"CAR[-3,-1]",topic_severity_pre_volatility,Topic + severity + pre-volatility,True,False,no_intercept_all_topic_coefficients,"Q(""CAR_-3_-1"") ~ 0 + C(topic) + severity_score + pre_event_volatility",273,C(topic)[mda_liquidity],-0.007561791804243043,0.00574550413208267,-1.3161232905600562,0.188132664916286,Topic: mda_liquidity,topic,-0.0076 (0.0057),
CAR_-3_-1__topic_severity_pre_volatility,CAR_-3_-1,"CAR[-3,-1]",topic_severity_pre_volatility,Topic + severity + pre-volatility,True,False,no_intercept_all_topic_coefficients,"Q(""CAR_-3_-1"") ~ 0 + C(topic) + severity_score + pre_event_volatility",273,C(topic)[revenue_non_gaap],0.005409762823529178,0.004593927849919962,1.1775898534460942,0.23896015688296846,Topic: revenue_non_gaap,topic,0.0054 (0.0046),
CAR_-3_-1__topic_severity_pre_volatility,CAR_-3_-1,"CAR[-3,-1]",topic_severity_pre_volatility,Topic + severity + pre-volatility,True,False,no_intercept_all_topic_coefficients,"Q(""CAR_-3_-1"") ~ 0 + C(topic) + severity_score + pre_event_volatility",273,C(topic)[risk_legal_regulatory],-0.013138774564234446,0.012579500387830341,-1.0444591723964776,0.2962729991099605,Topic: risk_legal_regulatory,topic,-0.0131 (0.0126),
CAR_-3_-1__topic_severity_pre_volatility,CAR_-3_-1,"CAR[-3,-1]",topic_severity_pre_volatility,Topic + severity + pre-volatility,True,False,no_intercept_all_topic_coefficients,"Q(""CAR_-3_-1"") ~ 0 + C(topic) + severity_score + pre_event_volatility",273,C(topic)[routine_other],-0.0019627227603342856,0.005903077952116022,-0.3324914182491401,0.7395182187263358,Topic: routine_other,topic,-0.0020 (0.0059),
CAR_-3_-1__topic_severity_pre_volatility,CAR_-3_-1,"CAR[-3,-1]",topic_severity_pre_volatility,Topic + severity + pre-volatility,True,False,no_intercept_all_topic_coefficients,"Q(""CAR_-3_-1"") ~ 0 + C(topic) + severity_score + pre_event_volatility",273,severity_score,-0.0009781515270214,0.0006430800151809715,-1.5210417116540853,0.12824937021979627,Severity score,main_variable,-0.0010 (0.0006),
