ticker,thread_id,accession_number,filing_date,form,normalized_form,form_role,firm_name,industry,document_name,extraction_status,letter_word_count_file
A,A_0000000000-16-092800,0000000000-16-092800,2016-09-14T00:00:00.000,UPLOAD,STAFF_LETTER,event_anchor,Agilent Technologies,Health Care,filename1.pdf,ok,711
A,A_0000000000-16-092800,0001090872-16-000078,2016-09-23T00:00:00.000,CORRESP,FILER_RESPONSE,thread_context,Agilent Technologies,Health Care,filename1.htm,ok,970
A,A_0000000000-16-092800,0000000000-16-095373,2016-09-30T00:00:00.000,UPLOAD,STAFF_LETTER,event_anchor,Agilent Technologies,Health Care,filename1.pdf,ok,198
ABBV,ABBV_0000000000-18-013671,0000000000-18-013671,2018-05-02T00:00:00.000,UPLOAD,STAFF_LETTER,event_anchor,AbbVie,Health Care,filename1.pdf,ok,686
ABBV,ABBV_0000000000-18-013671,0001104659-18-032238,2018-05-10T00:00:00.000,CORRESP,FILER_RESPONSE,thread_context,AbbVie,Health Care,filename1.htm,ok,1273
ABBV,ABBV_0000000000-20-009552,0000000000-20-009552,2020-10-09T00:00:00.000,UPLOAD,STAFF_LETTER,event_anchor,AbbVie,Health Care,filename1.pdf,ok,131
ABBV,ABBV_0000000000-20-009552,0001104659-20-114898,2020-10-14T00:00:00.000,CORRESP,FILER_RESPONSE,thread_context,AbbVie,Health Care,filename1.htm,ok,200
ABBV,ABBV_0000000000-20-009552,0001104659-20-114900,2020-10-14T00:00:00.000,CORRESP,FILER_RESPONSE,thread_context,AbbVie,Health Care,filename1.htm,ok,1199
ABBV,ABBV_0000000000-20-009552,0000000000-20-012305,2020-12-22T00:00:00.000,UPLOAD,STAFF_LETTER,event_anchor,AbbVie,Health Care,filename1.pdf,ok,632
ABBV,ABBV_0000000000-20-009552,0001104659-21-004698,2021-01-15T00:00:00.000,CORRESP,FILER_RESPONSE,thread_context,AbbVie,Health Care,filename1.htm,ok,994
ABBV,ABBV_0000000000-20-009552,0000000000-21-003131,2021-03-16T00:00:00.000,UPLOAD,STAFF_LETTER,event_anchor,AbbVie,Health Care,filename1.pdf,ok,274
ABBV,ABBV_0000000000-20-009552,0001104659-21-039166,2021-03-19T00:00:00.000,CORRESP,FILER_RESPONSE,thread_context,AbbVie,Health Care,filename1.htm,ok,355
