event_id,event_inclusion_status,event_date,ticker,firm_name,industry,thread_id,n_filings_in_thread,thread_round_count,thread_duration_days,staff_letter_word_count,main_staff_letter_url
A_000000000016092800,included,2016-09-14,A,Agilent Technologies,Health Care,A_0000000000-16-092800,3,2,16,909,https://www.sec.gov/Archives/edgar/data/1090872/000000000016092800/filename1.pdf
ABBV_000000000018013671,included,2018-05-02,ABBV,AbbVie,Health Care,ABBV_0000000000-18-013671,2,1,8,686,https://www.sec.gov/Archives/edgar/data/1551152/000000000018013671/filename1.pdf
ABBV_000000000020009552,included,2020-10-09,ABBV,AbbVie,Health Care,ABBV_0000000000-20-009552,8,4,207,1144,https://www.sec.gov/Archives/edgar/data/1551152/000000000020009552/filename1.pdf
ABBV_000000000022010309,included,2022-09-20,ABBV,AbbVie,Health Care,ABBV_0000000000-22-010309,3,2,30,492,https://www.sec.gov/Archives/edgar/data/1551152/000000000022010309/filename1.pdf
ADM_000000000017044885,included,2017-12-22,ADM,Archer Daniels Midland,Consumer Staples,ADM_0000000000-17-044885,3,2,19,697,https://www.sec.gov/Archives/edgar/data/7084/000000000017044885/filename1.pdf
ADM_000000000020007987,included,2020-08-25,ADM,Archer Daniels Midland,Consumer Staples,ADM_0000000000-20-007987,5,3,65,1076,https://www.sec.gov/Archives/edgar/data/7084/000000000020007987/filename1.pdf
ADM_000000000021013296,included,2021-11-02,ADM,Archer Daniels Midland,Consumer Staples,ADM_0000000000-21-013296,3,2,10,404,https://www.sec.gov/Archives/edgar/data/7084/000000000021013296/filename1.pdf
ADM_000000000024005934,included,2024-05-22,ADM,Archer Daniels Midland,Consumer Staples,ADM_0000000000-24-005934,10,4,210,1601,https://www.sec.gov/Archives/edgar/data/7084/000000000024005934/filename1.pdf
ADSK_000000000017022741,included,2017-06-28,ADSK,Autodesk,Information Technology,ADSK_0000000000-17-022741,3,2,22,754,https://www.sec.gov/Archives/edgar/data/769397/000000000017022741/filename1.pdf
ADSK_000000000018024031,included,2018-08-03,ADSK,Autodesk,Information Technology,ADSK_0000000000-18-024031,9,4,209,1481,https://www.sec.gov/Archives/edgar/data/769397/000000000018024031/filename1.pdf
AFL_000000000016074172,included,2016-04-28,AFL,Aflac,Financials,AFL_0000000000-16-074172,5,3,62,1251,https://www.sec.gov/Archives/edgar/data/4977/000000000016074172/filename1.pdf
AFL_000000000017014838,included,2017-04-28,AFL,Aflac,Financials,AFL_0000000000-17-014838,3,2,24,398,https://www.sec.gov/Archives/edgar/data/4977/000000000017014838/filename1.pdf
