event_id,event_date,ticker,industry,topic,topic_detail,severity_score,severity_bucket,letter_word_count,intensity_term_count,thread_round_count,amendment_indicator
A_000000000016092800,2016-09-14,A,Health Care,routine_other,routine_disclosure,-0.5955592894760546,medium,909,4,2,0
ABBV_000000000018013671,2018-05-02,ABBV,Health Care,accounting_financial_reporting,controls_accounting,-0.6420826602302503,medium,686,5,1,1
ABBV_000000000020009552,2020-10-09,ABBV,Health Care,accounting_financial_reporting,controls_accounting,2.402751473954108,high,1144,4,4,1
ABBV_000000000022010309,2022-09-20,ABBV,Health Care,accounting_financial_reporting,controls_accounting,-1.3263762383027338,low,492,1,2,0
ADM_000000000017044885,2017-12-22,ADM,Consumer Staples,routine_other,routine_disclosure,-0.8478554505941633,medium,697,4,2,0
ADM_000000000020007987,2020-08-25,ADM,Consumer Staples,accounting_financial_reporting,impairment_fair_value,0.540689919111737,high,1076,5,3,0
ADM_000000000021013296,2021-11-02,ADM,Consumer Staples,routine_other,routine_disclosure,-1.4311029466913827,low,404,1,2,0
ADM_000000000024005934,2024-05-22,ADM,Consumer Staples,accounting_financial_reporting,controls_accounting,3.8848369526852133,high,1601,16,4,1
ADSK_000000000017022741,2017-06-28,ADSK,Information Technology,routine_other,routine_disclosure,-0.7800211053878794,medium,754,4,2,0
ADSK_000000000018024031,2018-08-03,ADSK,Information Technology,revenue_non_gaap,revenue,2.272917484457938,high,1481,10,4,0
AFL_000000000016074172,2016-04-28,AFL,Financials,accounting_financial_reporting,controls_accounting,2.061693473273727,high,1251,9,3,1
AFL_000000000017014838,2017-04-28,AFL,Financials,accounting_financial_reporting,controls_accounting,-1.4382434040815177,low,398,1,2,0
AFL_000000000023008707,2023-08-10,AFL,Financials,routine_other,other,-1.6958803883016071,low,129,0,1,1
AJG_000000000016075772,2016-05-10,AJG,Financials,accounting_financial_reporting,controls_accounting,-0.7919218677047712,medium,744,4,2,0
AJG_000000000016102009,2016-11-22,AJG,Financials,routine_other,other,-1.6804093972896474,low,142,0,1,1
AJG_000000000022012653,2022-11-22,AJG,Financials,routine_other,other,-1.6958803883016071,low,129,0,1,1
AJG_000000000024002978,2024-03-19,AJG,Financials,accounting_financial_reporting,controls_accounting,-1.9110398885920077,low,460,5,1,0
AJG_000000000024010451,2024-09-16,AJG,Financials,routine_other,routine_disclosure,-2.7411032851057966,low,91,0,1,0
ALL_000000000017014470,2017-04-26,ALL,Financials,accounting_financial_reporting,controls_accounting,0.48558643456664285,medium,964,6,3,0
ALL_000000000018011843,2018-04-18,ALL,Financials,accounting_financial_reporting,controls_accounting,0.3295763056458435,medium,1030,3,3,0
ALL_000000000021003670,2021-03-26,ALL,Financials,accounting_financial_reporting,controls_accounting,-0.9546023335587992,medium,673,3,2,0
AMT_000000000016074877,2016-05-04,AMT,Real Estate,mda_liquidity,mda_liquidity,-1.1137125707177598,medium,605,2,2,0
AMT_000000000018008426,2018-03-19,AMT,Real Estate,mda_liquidity,mda_liquidity,-1.3287563907661122,low,490,1,2,0
AMT_000000000023002236,2023-03-07,AMT,Real Estate,accounting_financial_reporting,impairment_fair_value,-1.4346731753864503,low,401,1,2,0
AON_000000000017045347,2017-12-29,AON,Financials,routine_other,routine_disclosure,1.680398958676279,high,1062,7,3,1
AON_000000000018025493,2018-08-16,AON,Financials,revenue_non_gaap,revenue,-1.0664694993375834,medium,579,3,2,0
AON_000000000019006947,2019-04-10,AON,Financials,routine_other,routine_disclosure,-2.7411032851057966,low,91,0,1,0
AON_000000000020004858,2020-06-01,AON,Financials,routine_other,routine_disclosure,-0.3311365432294906,medium,488,1,2,1
AON_000000000022013878,2022-12-23,AON,Financials,accounting_financial_reporting,controls_accounting,-0.08980644118699349,medium,677,14,2,0
AON_000000000024003147,2024-03-22,AON,Financials,accounting_financial_reporting,controls_accounting,-0.3880161598540306,medium,571,10,1,1
APP_000000000020012628,2020-12-31,APP,Information Technology,accounting_financial_reporting,controls_accounting,10.661122957777607,high,4470,59,4,1
APP_000000000021013958,2021-11-17,APP,Information Technology,accounting_financial_reporting,controls_accounting,-1.1622561160479425,low,446,2,1,1
AVY_000000000018009394,2018-03-28,AVY,Materials,routine_other,routine_disclosure,-1.2204594536823956,low,581,1,2,0
AVY_000000000023003698,2023-04-13,AVY,Materials,revenue_non_gaap,non_gaap,-0.8398848948597303,medium,638,5,2,0
