event_id,ticker,event_date,topic,severity_score,CAR_-3_-1,CAR_-1_3,CAR_1_60,pre_event_volatility,regression_inclusion_status
A_000000000016092800,A,2016-09-14,routine_other,-0.5955592894760546,-0.02074402121755925,-0.008837896058644712,-0.03125044004767907,0.045889662077409264,included
ABBV_000000000018013671,ABBV,2018-05-02,accounting_financial_reporting,-0.6420826602302503,0.05330551125913696,0.023947221394890472,-0.1570317999747748,0.024974798037096055,included
ABBV_000000000020009552,ABBV,2020-10-09,accounting_financial_reporting,2.402751473954108,-0.018413783945659845,-0.019019865909845723,0.12718633565095316,0.026119707086505243,included
ABBV_000000000022010309,ABBV,2022-09-20,accounting_financial_reporting,-1.3263762383027338,0.033596471378831705,0.03965937849675294,0.12206796535443798,0.007307528009659223,included
ADM_000000000017044885,ADM,2017-12-22,routine_other,-0.8478554505941633,-0.0008938927997131918,0.0068572834144844386,0.06239830807872859,0.0029996110809072246,included
ADM_000000000020007987,ADM,2020-08-25,accounting_financial_reporting,0.540689919111737,-0.007702329203267522,-0.0024649973874101283,0.07956630412628352,0.010773589439538942,included
ADM_000000000021013296,ADM,2021-11-02,routine_other,-1.4311029466913827,-0.027654645314087234,-0.015762287838352096,0.23056315809475714,0.009940053293302092,included
ADM_000000000024005934,ADM,2024-05-22,accounting_financial_reporting,3.8848369526852133,-0.010155376985244713,0.001031116208245808,-0.09131057937850262,0.008950840321526111,included
ADSK_000000000017022741,ADSK,2017-06-28,routine_other,-0.7800211053878794,-0.029993954378798704,-0.06042296907784439,0.04569420319295592,0.017120253294264,included
ADSK_000000000018024031,ADSK,2018-08-03,revenue_non_gaap,2.272917484457938,0.024116298210830944,0.03770128817289142,0.02926312133492326,0.014954351264781262,included
AFL_000000000016074172,AFL,2016-04-28,accounting_financial_reporting,2.061693473273727,0.018769541314545557,0.027537478125506887,0.018014488927609262,0.0018748254061354032,included
AFL_000000000017014838,AFL,2017-04-28,accounting_financial_reporting,-1.4382434040815177,-0.0006637243512551683,-0.0008150810133062958,0.0050128100676004594,0.005389364189217622,included
AFL_000000000023008707,AFL,2023-08-10,routine_other,-1.6958803883016071,-0.012836339855771262,-0.004085110860093888,0.11093701454913063,0.01819471352629587,included
AJG_000000000016075772,AJG,2016-05-10,accounting_financial_reporting,-0.7919218677047712,-0.007479372718469546,0.008423297465259827,-0.009015772157256574,0.002102880696648847,included
AJG_000000000016102009,AJG,2016-11-22,routine_other,-1.6804093972896474,0.0002248897867301869,-0.014772546895370775,0.025754962920837676,0.01221167354890663,included
AJG_000000000022012653,AJG,2022-11-22,routine_other,-1.6958803883016071,0.0348111437458678,0.011015461638884227,-0.05537075779311029,0.012252522822380072,included
AJG_000000000024002978,AJG,2024-03-19,accounting_financial_reporting,-1.9110398885920077,-0.0037122123710234822,-0.048347243637385295,-0.019407495745438985,0.003525300347417168,included
AJG_000000000024010451,AJG,2024-09-16,routine_other,-2.7411032851057966,-0.028578480440781484,-0.07025588657094417,-0.12020096094481092,0.014547394258908579,included
ALL_000000000017014470,ALL,2017-04-26,accounting_financial_reporting,0.48558643456664285,-0.00024004909419139686,0.0010941704831327614,0.05159951404718732,0.014081893662928838,included
ALL_000000000018011843,ALL,2018-04-18,accounting_financial_reporting,0.3295763056458435,-0.00562040563970545,0.013766436792890024,-0.08409182426289463,0.011435554424485284,included
ALL_000000000021003670,ALL,2021-03-26,accounting_financial_reporting,-0.9546023335587992,0.02927553382228587,-0.004227363040984811,0.04172928613518401,0.00865200674419925,included
AMT_000000000016074877,AMT,2016-05-04,mda_liquidity,-1.1137125707177598,0.00656825638748515,0.02093533141574011,0.0355192271840743,0.00084520308463037,included
AMT_000000000018008426,AMT,2018-03-19,mda_liquidity,-1.3287563907661122,0.007187948195220062,0.012997186728742616,-0.08264744281495029,9.794955266984067e-05,included
AMT_000000000023002236,AMT,2023-03-07,accounting_financial_reporting,-1.4346731753864503,-0.005208589225092153,-0.010050837103236399,-0.07615780202711642,0.00821267714360145,included
